"t","z"
1.006735375E0,3.761207024E0
1.073509167E0,3.700905426E0
1.140279083E0,3.636000065E0
1.207050875E0,3.581947189E0
1.273822750E0,3.529204909E0
1.340596250E0,3.481904784E0
1.407367375E0,3.431933169E0
1.474138208E0,3.329569667E0
1.540910250E0,3.322257460E0
1.607682417E0,3.265357383E0
1.674455250E0,3.199218770E0
1.741225708E0,3.129392849E0
1.807998208E0,3.055355384E0
1.874770167E0,2.985638741E0
1.941542500E0,2.918916564E0
2.008313667E0,2.859246869E0
2.075085625E0,2.803796500E0
2.141857292E0,2.747279004E0
2.208630417E0,2.689328151E0
2.275401042E0,2.631064115E0
2.342173000E0,3.500692324E-1
2.408945458E0,2.502941693E0
2.475724625E0,2.431004135E0
2.542487875E0,2.354384041E0
2.609260875E0,2.279435467E0
2.676031833E0,2.211681088E0
2.742805500E0,2.146830779E0
2.809576542E0,2.086036351E0
2.876348958E0,2.026430105E0
2.943119042E0,1.966748990E0
3.009891708E0,1.906139235E0
3.076663458E0,1.844844868E0
3.143434458E0,1.777718594E0
3.210206667E0,1.707954406E0
3.276980083E0,1.629712652E0
3.343751250E0,1.558668305E0
3.410522792E0,1.493614754E0
3.477294333E0,1.430921163E0
3.544074917E0,1.375525227E0
3.610839292E0,8.585695031E-1
3.677609750E0,1.262559789E0
3.744381833E0,1.206463942E0
3.811154083E0,1.147649844E0
3.877925792E0,1.088345244E0
3.944698208E0,1.029889586E0
